,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
171,demirci,5,TR,1586616127,10,39.05,28.66,68.0,58
172,katsuura,75,JP,1586616127,62,35.13,140.3,55.4,12.75
173,roma,40,US,1586616127,60,43.21,-75.46,39.2,14.99
174,richards bay,0,ZA,1586616127,72,-28.78,32.04,78.28,19.06
175,riyadh,75,SA,1586616013,13,24.69,46.72,91.4,6.93
176,kodinsk,24,RU,1586616128,92,58.69,99.18,31.3,3.47
177,eureka,90,US,1586616112,87,40.8,-124.16,52.0,3.36
178,orcopampa,0,PE,1586616128,9,-15.27,-72.34,55.15,4.47
179,mont-de-marsan,44,FR,1586616128,41,44,-0.67,75.2,4.7
181,la palma,1,US,1586616128,81,33.85,-118.05,55.4,5.82
182,viedma,100,AR,1586616129,50,-40.81,-63,68.88,9.69
183,sidhi,3,IN,1586616129,16,24.42,81.88,87.22,3.8
184,geraldton,0,AU,1586616129,88,-28.77,114.6,73.99,6.93
185,heihe,3,CN,1586616129,30,50.24,127.49,44.6,6.93
186,pimampiro,75,EC,1586616129,93,0.4,-77.97,55.4,2.62
187,moree,0,AU,1586616129,72,-29.47,149.85,60.8,13.87
188,chuy,8,UY,1586615834,57,-33.7,-53.46,70.43,4.09
190,hofn,85,IS,1586616130,84,64.25,-15.21,42.84,14.25
191,chokurdakh,100,RU,1586616130,98,70.63,147.92,28.2,16.17
192,mount gambier,90,AU,1586615864,71,-37.83,140.77,51.8,8.05
193,naze,75,JP,1586616130,88,28.37,129.48,64.4,8.05
194,manzhouli,0,CN,1586616130,32,49.6,117.43,47.52,7.34
195,ayan,0,RU,1586616130,83,56.45,138.17,33.53,15.95
196,seydisehir,0,TR,1586616130,25,37.42,31.85,55.22,9.71
197,karasjok,40,NO,1586616130,51,69.47,25.51,35.6,21.92
199,axim,91,GH,1586616131,74,4.87,-2.24,84.52,7.07
200,ribeira grande,20,PT,1586616131,77,38.52,-28.7,64.4,5.82
201,berlevag,97,NO,1586616131,89,70.86,29.09,27.63,10.6
202,diego de almagro,0,CL,1586616131,20,-26.37,-70.05,76.41,6.55
203,atar,0,MR,1586616131,9,20.52,-13.05,100.11,7.65
204,namatanai,68,PG,1586616131,75,-3.67,152.43,82.09,4.21
205,boa vista,40,BR,1586615983,49,2.82,-60.67,89.6,13.87
206,souillac,40,MU,1586616131,78,-20.52,57.52,80.01,14.99
207,nicoya,95,CR,1586616132,62,10.15,-85.45,84.2,3.36
208,luau,93,AO,1586616132,58,-10.71,22.22,76.59,2.13
209,tongren,38,CN,1586616132,77,27.72,109.19,47.28,1.86
210,sao joao da barra,75,BR,1586616132,69,-21.64,-41.05,78.8,7.27
211,arlit,93,NE,1586616132,7,18.74,7.39,101.53,5.86
212,belaya gora,95,RU,1586616132,95,68.53,146.42,22.32,11.88
213,nakhabino,30,RU,1586616132,30,55.85,37.18,44.01,13.42
214,mawlaik,10,MM,1586616132,23,23.63,94.42,81.59,1.79
215,ilulissat,75,GL,1586616127,44,69.22,-51.1,37.4,12.75
216,panguna,94,PG,1586616132,81,-6.32,155.48,71.4,1.61
217,pangai,15,TO,1586616133,62,-19.8,-174.35,76.89,6.55
218,guerrero negro,96,MX,1586616133,69,27.98,-114.06,60.15,5.68
219,la ronge,75,CA,1586615983,66,55.1,-105.28,15.8,12.75
220,labuhan,80,ID,1586616119,82,-6.88,112.21,79.61,2.71
221,poum,20,NC,1586616131,71,-20.23,164.02,77.77,11.3
222,pisco,90,PE,1586616129,30,-13.7,-76.22,73.0,1.12
223,husavik,90,IS,1586616133,93,66.04,-17.34,35.6,6.93
224,saint-augustin,100,CA,1586616133,94,51.23,-58.65,33.22,7.47
225,north bend,90,US,1586616133,100,43.41,-124.22,46.99,9.17
226,pathardi,27,IN,1586616134,15,19.17,75.18,88.74,2.1
227,fershampenuaz,91,RU,1586616134,76,53.52,59.81,40.21,7.2
228,tsumeb,93,NA,1586616134,37,-19.23,17.72,78.03,7.36
229,kapoeta,39,SS,1586616134,25,4.77,33.59,95.09,14.41
230,tasiilaq,40,GL,1586616134,68,65.61,-37.64,30.2,26.4
231,vostok,0,RU,1586616134,90,46.49,135.88,24.46,4.21
232,hauzenberg,20,DE,1586616134,32,48.65,13.63,71.01,6.93
233,lompoc,90,US,1586616076,93,34.64,-120.46,54.0,3.36
234,lasa,5,IT,1586616122,33,46.62,10.7,78.8,5.82
236,grindavik,75,IS,1586616135,81,63.84,-22.43,44.6,19.46
239,broome,40,US,1586616054,47,42.25,-75.83,39.99,13.87
240,yar-sale,100,RU,1586616117,97,66.83,70.83,31.66,14.85
241,narasannapeta,0,IN,1586616135,80,18.42,84.05,80.96,5.01
242,moerai,100,PF,1586616135,85,-22.43,-151.33,81.34,5.73
243,portland,75,US,1586615510,81,45.52,-122.68,48.2,1.52
244,bukachacha,0,RU,1586616135,47,52.98,116.92,41.22,0.72
245,inyonga,82,TZ,1586616135,61,-6.72,32.07,73.65,5.06
246,ziro,26,IN,1586616136,46,27.63,93.83,52.77,3.29
247,eyl,0,SO,1586615879,61,7.98,49.82,84.51,12.37
248,tarut,75,SA,1586616136,83,26.57,50.04,84.2,12.75
249,luderitz,0,NA,1586616114,28,-26.65,15.16,86.0,4.7
250,stodolishche,55,RU,1586616136,60,54.19,32.65,41.09,14.45
251,esik,90,KZ,1586616136,71,43.36,77.45,51.8,2.24
252,saryg-sep,98,RU,1586616136,69,51.5,95.6,35.8,1.9
253,tucurui,91,BR,1586616137,71,-3.77,-49.67,83.68,1.81
254,songjianghe,13,CN,1586616137,67,42.19,127.48,32.92,5.06
255,lebu,0,CL,1586616118,59,-37.62,-73.65,58.82,13.04
256,kruisfontein,100,ZA,1586616137,45,-34,24.73,70.36,5.3
257,nowy tomysl,100,PL,1586616138,29,52.32,16.13,60.8,1.12
258,macomb,1,US,1586616119,63,40.46,-90.67,55.99,10.29
259,sault sainte marie,40,CA,1586615928,69,46.52,-84.33,35.6,4.7
260,birjand,75,IR,1586616090,46,32.87,59.22,71.6,13.87
261,sistranda,100,NO,1586616138,61,63.73,8.83,46.4,12.75
262,liberia,100,LR,1586616139,51,6.5,-9.5,90.27,1.28
263,hesla,1,IN,1586616139,12,24.07,85.88,85.05,4.63
265,rincon,20,US,1586616118,51,32.3,-81.24,69.01,4.23
266,faanui,100,PF,1586616139,75,-16.48,-151.75,82.49,10.49
267,saint george,1,US,1586615994,81,37.1,-113.58,52.0,3.36
268,margate,41,GB,1586616141,59,51.38,1.39,71.01,10.29
270,san clemente,1,US,1586616141,93,33.43,-117.61,53.01,3.83
271,caravelas,32,BR,1586616141,80,-17.71,-39.25,81.25,10.56
272,sipovo,48,BA,1586616142,38,44.28,17.08,63.86,8.75
274,omboue,100,GA,1586615960,85,-1.57,9.26,79.25,6.85
275,borkenes,100,NO,1586616142,74,68.77,16.17,37.99,23.04
276,itarema,100,BR,1586616142,75,-2.92,-39.92,84.61,7.47
277,half moon bay,90,US,1586616143,87,37.46,-122.43,54.0,4.9
278,strezhevoy,100,RU,1586616143,61,60.73,77.59,46.4,8.95
279,daru,80,PG,1586616143,87,-9.08,143.21,80.13,10.51
280,basoko,98,CD,1586616143,55,1.24,23.62,86.47,1.99
281,saskylakh,90,RU,1586616130,94,71.92,114.08,13.53,15.1
282,euclides da cunha,99,BR,1586616144,41,-10.51,-39.02,89.31,5.26
284,roald,100,NO,1586616144,87,62.58,6.13,44.6,9.17
285,leningradskiy,100,RU,1586616144,82,69.38,178.42,6.91,5.39
286,chernaya kholunitsa,100,RU,1586616144,90,58.85,51.72,33.1,4.63
287,batemans bay,3,AU,1586616144,80,-35.72,150.18,42.01,10.94
288,altay,31,CN,1586616145,39,47.87,88.12,44.33,5.26
289,maumere,3,ID,1586616145,74,-8.62,122.21,79.74,4.88
290,taitung,86,TW,1586616145,67,22.76,121.14,74.53,1.54
292,cantagallo,40,CO,1586616145,74,7.38,-73.92,86.0,2.24
293,damghan,38,IR,1586616145,33,36.17,54.35,61.56,8.16
294,imbituba,1,BR,1586616145,60,-28.24,-48.67,73.4,3.36
295,sibu,75,MY,1586616146,94,2.3,111.82,77.0,3.36
296,bilibino,99,RU,1586616146,89,68.05,166.44,6.35,1.92
297,itaituba,100,BR,1586616146,76,-4.28,-55.98,82.31,4.23
298,cayenne,75,GF,1586616139,66,4.93,-52.33,86.0,12.75
299,aksu,72,CN,1586616146,17,41.12,80.26,63.73,3.29
301,derzhavinsk,95,KZ,1586616146,50,51.1,66.32,46.83,10.51
302,osoyoos,40,CA,1586616147,28,49.03,-119.45,46.4,19.46
304,kitimat,5,CA,1586616147,47,54.05,-128.65,34.0,14.99
306,karaton,20,ID,1586616137,74,-6.34,106.1,84.2,2.24
307,provideniya,100,RU,1586615837,96,64.38,-173.3,24.85,3.96
308,ostrovnoy,97,RU,1586616147,94,68.05,39.51,25.81,14.52
309,sitka,20,US,1586616127,80,57.05,-135.33,30.2,4.7
310,athens,20,GR,1586615899,28,37.98,23.72,73.4,5.82
311,chancay,90,PE,1586616148,83,-11.57,-77.27,71.6,8.05
312,leeton,0,AU,1586616148,62,-34.57,146.4,51.8,9.17
313,auki,95,SB,1586616148,78,-8.77,160.7,81.5,6.02
314,dhangadhi,0,NP,1586616148,17,28.71,80.6,83.59,4.45
315,mamallapuram,20,IN,1586616004,74,12.63,80.17,86.0,8.05
316,mananjary,7,MG,1586616149,80,-21.22,48.33,76.64,5.84
317,vila franca do campo,20,PT,1586616149,63,37.72,-25.43,62.6,17.22
318,comodoro rivadavia,0,AR,1586615927,46,-45.87,-67.5,53.6,17.22
319,vanavara,42,RU,1586616149,93,60.34,102.28,29.17,4.65
320,fairbanks,20,US,1586616128,92,64.84,-147.72,21.99,4.7
321,kaitangata,73,NZ,1586615909,96,-46.28,169.85,50.0,3
322,novospasskoye,100,RU,1586616149,48,53.15,47.75,48.87,12.64
323,seminole,20,US,1586616149,46,28.71,-81.21,77.0,10.29
324,sungaipenuh,100,ID,1586616150,73,-2.08,101.38,69.12,1.41
325,gobabis,80,NA,1586616150,44,-22.45,18.97,80.6,1.12
326,usak,0,TR,1586616005,10,38.5,29.42,68.0,58
327,villazon,0,BO,1586616150,11,-22.09,-65.59,54.84,3.42
328,college,20,US,1586616150,92,64.86,-147.8,24.8,4.7
329,bambanglipuro,18,ID,1586616150,77,-7.95,110.28,79.52,3.15
330,komsomolskiy,90,UZ,1586616151,67,40.43,71.72,59.0,4.7
331,peniche,40,PT,1586616151,72,39.36,-9.38,68.0,8.05
332,victoria,40,HK,1586616056,100,22.29,114.16,73.0,9.17
333,bac lieu,6,VN,1586615903,73,9.29,105.72,81.48,9.28
334,matata,27,NZ,1586616151,95,-37.88,176.75,54.0,3.02
335,kavieng,97,PG,1586616145,76,-2.57,150.8,82.87,5.23
336,vardo,97,NO,1586616151,90,70.37,31.11,29.89,13.24
337,ruyigi,53,BI,1586616152,56,-3.45,30.32,69.8,4.14
339,rio gallegos,75,AR,1586616066,48,-51.62,-69.22,44.6,17.22
340,tadine,42,NC,1586616154,77,-21.55,167.88,73.81,7.38
341,taksimo,88,RU,1586616154,62,56.34,114.88,35.96,0.69
343,ust-maya,11,RU,1586616154,96,60.42,134.53,24.93,4.52
344,avera,1,US,1586615943,42,33.19,-82.53,62.01,6.93
347,constantine,75,DZ,1586616155,63,36.37,6.61,62.6,4.7
348,namibe,7,AO,1586616155,60,-15.2,12.15,80.22,9.62
349,zyryanka,7,RU,1586616155,94,65.75,150.85,15.04,1.7
350,haines junction,0,CA,1586616042,71,60.75,-137.51,14.59,1.54
351,orlik,100,RU,1586616155,52,52.52,99.83,33.4,1.19
352,vieques,40,PR,1586616156,69,18.43,-65.83,86.0,5.01
353,tyssedal,100,NO,1586616156,92,60.12,6.56,43.0,5.41
354,port lincoln,52,AU,1586616156,65,-34.73,135.87,56.37,7.94
355,mendi,100,PG,1586616156,56,-6.18,143.65,55.76,1.3
356,ugoofaaru,9,MV,1586616156,68,5.67,73,85.78,6.73
357,susner,5,IN,1586616156,11,23.95,76.08,91.81,6.53
358,isla vista,1,US,1586616157,71,34.41,-119.86,55.99,5.82
359,gazanjyk,100,TM,1586616157,41,39.24,55.52,64.76,5.84
361,misratah,28,LY,1586616157,54,32.38,15.09,63.28,12.46
362,iralaya,100,HN,1586616158,78,15,-83.23,82.4,4.7
363,san juan,70,AR,1586616158,34,-31.54,-68.54,73.2,5.35
364,bilma,99,NE,1586616132,8,18.69,12.92,97.12,12.5
366,codrington,49,AU,1586616158,77,-38.27,141.97,51.42,13.09
367,rabo de peixe,20,PT,1586616159,63,37.8,-25.58,62.6,17.22
368,takoradi,100,GH,1586616159,76,4.88,-1.76,84.33,7.29
369,saldanha,70,ZA,1586616159,85,-33.01,17.94,65.48,12.77
371,clyde river,75,CA,1586616159,78,70.47,-68.59,10.4,17.22
372,panama city,20,PA,1586615881,74,8.99,-79.52,89.01,8.05
373,sao gabriel da cachoeira,100,BR,1586616159,70,-0.13,-67.09,84.11,3.44
374,hokitika,100,NZ,1586616160,78,-42.72,170.97,55.53,8.1
375,saint thomas,40,BB,1586616160,62,13.18,-59.58,84.2,14.99
376,san carlos de bariloche,20,AR,1586616160,39,-41.15,-71.31,48.2,9.17
377,puerto del rosario,20,ES,1586616160,64,28.5,-13.86,75.2,17.22
378,sabang,19,ID,1586616160,78,5.89,95.32,83.21,12.75
379,pauini,87,BR,1586615895,69,-7.71,-66.98,84.02,2.3
380,kagalnitskaya,98,RU,1586616161,30,46.88,40.15,53.01,18.01
381,kargasok,49,RU,1586616161,92,59.06,80.86,34.79,8.97
382,grand bank,40,CA,1586616161,86,47.1,-55.77,39.2,21.92
383,puerto vallarta,75,MX,1586616117,82,20.62,-105.23,73.99,4.59
384,marsh harbour,94,BS,1586616161,72,26.54,-77.06,72.66,13.33
385,sindor,85,RU,1586616161,92,62.86,51.89,27.5,1.63
386,isangel,59,VU,1586616162,67,-19.55,169.27,76.98,9.51
387,rawson,7,AR,1586616131,31,-43.3,-65.1,61.32,19.53
388,abu dhabi,100,AE,1586616021,11,24.47,54.37,102.2,16.11
389,tutoia,93,BR,1586616162,73,-2.76,-42.27,85.08,7.11
390,kutum,74,SD,1586616162,8,14.2,24.67,91.51,9.64
391,sainte-rose,75,GP,1586616162,66,16.33,-61.7,84.2,14.99
392,kahului,1,US,1586616162,78,20.89,-156.47,71.6,5.82
393,baghdad,40,IQ,1586615972,29,33.34,44.4,78.8,11.41
394,lagoa,0,PT,1586616126,69,39.05,-27.98,61.59,9.22
395,torbay,90,CA,1586616163,90,47.67,-52.73,44.01,19.46
396,sudak,77,UA,1586616163,47,44.85,34.97,52.97,3.6
397,hobyo,0,SO,1586616163,61,5.35,48.53,84.65,14.05
398,narsaq,75,GL,1586616151,34,60.92,-46.05,48.2,3.36
400,palafrugell,20,ES,1586616164,46,41.92,3.16,73.0,19.46
401,quatre cocos,40,MU,1586616164,78,-20.21,57.76,80.01,14.99
402,bikin,0,RU,1586616164,70,46.82,134.26,34.5,0.36
404,satkhira,40,BD,1586616164,70,22.72,89.1,86.0,13.87
405,samarai,73,PG,1586616140,72,-10.62,150.67,78.75,4.25
406,anadyr,0,RU,1586616165,84,64.75,177.48,1.4,13.42
407,bratsk,47,RU,1586616165,79,56.13,101.61,28.4,2.24
408,savonlinna,40,FI,1586616165,51,61.87,28.88,37.99,5.82
409,chacarita,100,CR,1586616165,57,9.98,-84.77,77.0,13.87
410,jati,100,PK,1586616165,50,24.35,68.27,83.35,12.26
411,isla mujeres,20,MX,1586616165,70,21.23,-86.73,84.2,12.75
412,bowen,99,AU,1586616166,94,-20.02,148.23,72.0,1.12
413,bintulu,75,MY,1586616025,100,3.17,113.03,78.8,3.36
415,bandarbeyla,4,SO,1586616166,64,9.49,50.81,83.23,10.89
416,norman wells,75,CA,1586616166,92,65.28,-126.83,21.2,2.24
418,bereda,90,ES,1586615932,87,43.27,-7.54,64.0,3.36
419,sturgeon falls,75,CA,1586616167,68,46.36,-79.93,30.2,9.17
420,blagoyevo,97,RU,1586616167,93,63.37,47.92,27.54,1.79
421,phayao,58,TH,1586616167,29,19.25,100.25,81.54,1.79
423,valasske mezirici,66,CZ,1586616167,34,49.47,17.97,64.0,8.05
424,cabedelo,40,BR,1586616151,59,-6.98,-34.83,89.6,9.17
425,rocha,0,UY,1586616150,51,-34.48,-54.33,71.83,3.8
